file,verdict,reason,n_bars,n_anchors_1,d_iv_1,d_ac_1,d_de_1,d_iv_15,d_ac_15,d_de_15,d_iv_2,d_ac_2,d_de_2
"BATS_MSFT, 15.csv",REJECTS,3/3 d>0 (wrong direction),20054,10520,0.3819389742757192,0.5646026953644904,1.157792251857235,0.5235088313153281,0.619713314108804,1.083758724884378,0.5743716167209211,0.5378224182216239,1.1051378388266477
"BATS_MSFT, 1D.csv",REJECTS,2/3 d>0 (wrong direction),7114,3677,-0.4705493502706806,0.46472010823917437,0.9536572217533834,-0.3749277956810284,0.559731718836756,0.896892851541181,-0.22069550655702955,0.6129423675711942,0.7755443899660127
"BATS_NVDA, 1D.csv",REJECTS,2/3 d>0 (wrong direction),5084,2864,-1.0879745705089083,0.5597183193458524,1.0225861023069143,-0.9902690600736572,0.6541567257704948,0.9146083065912114,-0.9840087813555464,0.6718086456279804,0.8399911850047117
"BATS_PLTR, 1D.csv",REJECTS,2/3 d>0 (wrong direction),1424,726,-0.48865916865743836,0.6709699006365836,0.9844026277806605,-0.4199300894144424,0.734632088082349,0.9382440275561057,-0.35142771225568387,0.7048000422161522,1.0148120306207962
"BSE_DLY_HDFCBANK, 1D.csv",REJECTS,2/3 d>0 (wrong direction),5543,2885,-0.15286028111983482,0.6590753065873066,1.030941935816274,-0.0815486903729007,0.7520128317036145,1.0304676311240122,-0.06246038020213892,0.7421990266156716,0.9939487916326232
"BSE_DLY_ICICIBANK, 1D.csv",REJECTS,2/3 d>0 (wrong direction),6866,3677,-0.17916469901739787,0.6785849037410403,0.8114926041835169,-0.09763405237715123,0.7393815090236832,0.8133512819506099,0.059982162339286126,0.7741519515921816,0.8843510834888193
"BSE_DLY_TCS, 1D.csv",REJECTS,3/3 d>0 (wrong direction),5370,2698,0.046109391664781826,0.5961330032340448,0.9232536894739293,0.1820112556106803,0.6549678214208061,0.9533289493255912,0.06507164051588658,0.6499627706715985,1.046596556476124
"CAPITALCOM_COCOA, 15.csv",REJECTS,3/3 d>0 (wrong direction),20131,10884,0.49033191391980135,0.6432782048273714,1.1003573106561158,0.6166295365886895,0.7484789839568871,1.1707984199748747,0.6184747570878258,0.7450235670576695,1.18683188881328
"CAPITALCOM_COCOA, 1D.csv",REJECTS,2/3 d>0 (wrong direction),6709,3323,-0.30900001508854563,0.571061523601253,0.906165316496458,-0.1733080430184703,0.6315175257412249,0.9263974306717245,-0.1577515547674532,0.7045309443305418,0.8666546673597235
"CAPITALCOM_COCOA, 60.csv",REJECTS,2/3 d>0 (wrong direction),18977,10588,-0.3184123604684403,0.6873855750533426,1.1027197658125263,-0.22708613819863285,0.7807642139302351,1.121362484592556,-0.15913706216651638,0.8146885219266181,1.1596111869610626
"CBOT_DL_ZC1!, 15.csv",REJECTS,3/3 d>0 (wrong direction),20639,10746,0.3539343428391086,0.44890509009675417,0.8678695169272722,0.5205174178406288,0.5143829703677022,0.7907764730957256,0.5508553663864821,0.4195205190909326,0.7775100322947721
"CBOT_DL_ZC1!, 1D.csv",REJECTS,3/3 d>0 (wrong direction),14189,8174,0.16910955006916534,0.6947211866496855,0.9638009922090714,0.29404659277184286,0.8103205727673165,0.9781298595240203,0.33031704793092065,0.8184743809115305,0.9873148451303762
"CBOT_DL_ZC1!, 60.csv",REJECTS,3/3 d>0 (wrong direction),18842,10569,0.24653827451182622,0.6068759535332057,1.1554045503531747,0.411186942876896,0.6631577512379204,1.1474023894666838,0.3711217557148167,0.555348819031885,1.0384626797814298
"CFI_WTI, 15.csv",REJECTS,2/3 d>0 (wrong direction),21802,11463,-0.32604829194118845,0.5583970682527829,0.9574076125684643,-0.3091586947065023,0.6195654031349848,0.9611663343531099,-0.2605704886015049,0.5534758537893072,0.9652288611295651
"CFI_WTI, 1D.csv",REJECTS,3/3 d>0 (wrong direction),2638,1413,0.26172001156510094,0.6763042770543194,1.0610347206743895,0.38388645028305024,0.736074134681405,1.0201592895246825,0.4317320034232345,0.6994278190676717,1.0890569032122586
"CFI_WTI, 60.csv",REJECTS,2/3 d>0 (wrong direction),19082,10442,-0.00037566992062604146,0.5976586204456471,1.1075559955003154,0.04329091680842158,0.6800403590098468,1.1022542614495703,0.08775649600950566,0.6533077308545361,0.9914733912975869
"CME_MINI_DL_MIR1!, 1D.csv",REJECTS,3/3 d>0 (wrong direction),3344,1647,0.2469435232650315,0.40436449366075694,0.7878488063590363,0.4525660772317879,0.5184421799891957,0.9013241060997557,0.4242120419845006,0.5932710356319928,0.9429828726504912
"CME_MINI_DL_MIR2!, 1D.csv",REJECTS,3/3 d>0 (wrong direction),3361,1631,0.2679020831387557,0.4136524354783693,0.7790617474580612,0.469276927042908,0.5257979079885444,0.8872561678458873,0.3994752214630826,0.5569420664079593,0.9559873918911126
"COMEX_DL_GC2!, 15.csv",REJECTS,3/3 d>0 (wrong direction),20160,10704,0.10523336544578206,0.49260879520209244,0.8874767529786267,0.18224205103158336,0.5726897612839676,0.8634812303083979,0.24406268257407857,0.5534563496924072,0.9041626558840816
"COMEX_DL_GC2!, 1D.csv",REJECTS,2/3 d>0 (wrong direction),8786,4560,-0.6492176593152589,0.5651307582178754,0.9972144895279617,-0.6835274436421374,0.6230929622721779,1.1020529520269267,-0.5791585985787857,0.6700134643863206,1.1810715585512859
"COMEX_DL_GC2!, 60.csv",REJECTS,2/3 d>0 (wrong direction),23189,12394,-0.08591676366777104,0.5621231650502722,1.0769220943867892,0.0012394487723850296,0.617710283622373,1.0777021567564826,0.09992023293518892,0.5743489435886305,1.0335185118263353
"COMEX_DL_HG1!, 15.csv",REJECTS,2/3 d>0 (wrong direction),21798,11700,-0.11421550353817225,0.5176251999624282,0.8378157320534514,-0.03692789614526817,0.6064511396808961,0.8571310659543879,-0.031134829907523733,0.5878178113308594,0.9345515922576697
"COMEX_DL_HG1!, 1D.csv",REJECTS,2/3 d>0 (wrong direction),9517,5085,-1.6783604324030334e-05,0.5833472961506312,0.8590298866079981,0.0818859370927711,0.6807977312983727,0.9011415331983721,0.0969227695542945,0.7216224020855426,0.9364139646727497
"COMEX_DL_HG1!, 60.csv",REJECTS,3/3 d>0 (wrong direction),20200,10723,0.12210019905882513,0.5941068305238805,0.9562070287228581,0.23267352872261657,0.6713444720756613,0.9686171321176127,0.2997895083847042,0.6630251837780147,0.9520641926212768
"COMEX_DL_SI2!, 15.csv",REJECTS,2/3 d>0 (wrong direction),21696,11737,-0.20583486606566942,0.4826250040403672,0.8175346754691766,-0.12211901991511302,0.5602528679326522,0.8232181884167052,-0.03538041318874051,0.5458237050431789,0.8233005765082029
"COMEX_DL_SI2!, 1D.csv",REJECTS,2/3 d>0 (wrong direction),11186,5555,-1.0760661695055234,0.5140990439598759,0.9676734187335322,-1.0202749795612769,0.6391572614793747,1.0694846577639927,-0.8347742274169515,0.7233258412487682,1.1497141740608456
"COMEX_DL_SI2!, 60.csv",REJECTS,2/3 d>0 (wrong direction),22890,12552,-0.5857426620424006,0.5759068542446962,0.9537095837714641,-0.4523459873025195,0.6328302182908885,0.9671750322017132,-0.3324540606110877,0.5802247561547101,0.9538483198000913
"FOREXCOM_COFFEE, 15.csv",REJECTS,3/3 d>0 (wrong direction),20520,10908,0.6730767267201965,0.6383128543883962,1.0453120132004365,0.8327187863626836,0.7214476960469771,1.0046083526493537,0.8997195824648196,0.7149765024902547,0.8957391701871409
"FOREXCOM_COFFEE, 1D.csv",REJECTS,3/3 d>0 (wrong direction),1785,878,0.4352943628600507,0.5877970677436589,0.8795480646236732,0.667121928103986,0.752401014354786,0.998550803795238,0.581708582626307,0.8171461127393341,1.0210856476179795
"FOREXCOM_COFFEE, 60.csv",REJECTS,3/3 d>0 (wrong direction),7416,4120,0.5485779989453472,0.6200393749564639,1.0185495872563552,0.6725756640509635,0.6889537491457541,1.0240187416163635,0.7840973342546653,0.7140855749463371,0.9759258877974709
"FOREXCOM_COTTON, 60.csv",REJECTS,2/3 d>0 (wrong direction),23791,12401,-1.3865269474945083,0.5023018675285595,0.9935763132116843,-1.2947773926606716,0.594475814817663,1.0195111466034184,-1.3356347052600244,0.5756613848595793,1.0231894861258828
"FOREXCOM_USDCHF, 15.csv",REJECTS,3/3 d>0 (wrong direction),20785,11061,0.5567506340334415,0.5910887846984512,0.8189001605184242,0.6675739380811279,0.6709721873780397,0.8172852530983218,0.7194699613232968,0.6474191478606006,0.847904960120254
"FOREXCOM_USDCHF, 1D.csv",REJECTS,3/3 d>0 (wrong direction),5307,2723,0.27225859801959873,0.6502707740958177,0.9561690898532301,0.46199293119219526,0.7678212394347408,1.0478877457134927,0.5393574727369663,0.7964005563311536,1.0772510603828498
"FOREXCOM_USDCHF, 60.csv",REJECTS,3/3 d>0 (wrong direction),21258,11437,0.638176095362829,0.5593170334161892,1.0430076366003487,0.7826741588383701,0.6175791579117874,1.0515369638626435,0.8342144786676553,0.5608402428431415,1.0653962538499515
"FX_IDC_INRUSD, 1D.csv",REJECTS,3/3 d>0 (wrong direction),4956,2513,0.3828455954320331,0.5058924232554961,0.9263942372060038,0.5617474582807589,0.6541147424190709,1.0517679240582947,0.6177086667533868,0.7534571221914009,1.1735449093753563
"ICEEUR_DLY_BRN1!, 15 (1).csv",REJECTS,2/3 d>0 (wrong direction),21195,11075,-0.3595509954158631,0.5824209151623377,1.022586867984967,-0.2831712496389993,0.630051214488469,1.0253547586950857,-0.19552203931027756,0.5702442984375443,1.0252239986513847
"ICEEUR_DLY_BRN1!, 1D.csv",REJECTS,3/3 d>0 (wrong direction),9526,5290,0.02658116509658732,0.6012369113389547,0.9652723767972383,0.1695997258258792,0.7172200382691255,1.0099892057158482,0.16789383790809628,0.779604064994957,0.9940945709387152
"ICEEUR_DLY_BRN1!, 60 (1).csv",REJECTS,3/3 d>0 (wrong direction),22978,12551,0.13294777213323117,0.606668550186195,1.0815338980777307,0.21476630532905763,0.6870841461924136,1.0791707516551385,0.26001487920799965,0.6573874757423939,1.0033034348460355
"ICEEUR_DLY_BRN2!, 15.csv",REJECTS,2/3 d>0 (wrong direction),21063,11010,-0.3423897092654027,0.5505598908005535,0.980970857705138,-0.25663456761362,0.6112682350484732,0.9953309543173507,-0.1862803780062377,0.5554307281096568,0.970719513147286
"ICEEUR_DLY_BRN2!, 60.csv",REJECTS,3/3 d>0 (wrong direction),22955,12528,0.1759370408818985,0.5945079750917023,1.0550394937592469,0.24774936983242116,0.6633447692563018,1.0553388520890536,0.3026386498437404,0.6290489244170058,0.9765344894606582
"NSE_DLY_INFY, 1D.csv",REJECTS,3/3 d>0 (wrong direction),6530,3444,0.013666054479076305,0.5832196581661561,0.9415890470470052,0.1361057860196456,0.6611538219317205,0.9124704816858892,0.23189885678463093,0.6888553638272227,0.9423656209371912
"NSE_DLY_WIPRO, 1D.csv",REJECTS,3/3 d>0 (wrong direction),7468,4070,0.11576060669690671,0.6754318646089629,1.081864981376757,0.2556073017157916,0.7713351696088707,1.0865081732066224,0.17990163901601533,0.8400373513136082,1.1842849618694171
