time,open,high,low,close
2026-05-11T08:00:00Z,1.17722,1.17823,1.17714,1.17714
2026-05-11T09:00:00Z,1.17714,1.17746,1.17674,1.17675
2026-05-11T10:00:00Z,1.17674,1.17742,1.17648,1.17691
2026-05-11T11:00:00Z,1.17692,1.17747,1.17635,1.17684
2026-05-11T12:00:00Z,1.17685,1.17747,1.17644,1.17745
2026-05-11T13:00:00Z,1.17747,1.17878,1.17744,1.17852
2026-05-11T14:00:00Z,1.17852,1.17878,1.1779,1.17794
2026-05-11T15:00:00Z,1.17793,1.17854,1.17768,1.178
2026-05-11T16:00:00Z,1.17801,1.17806,1.17724,1.17733
2026-05-11T17:00:00Z,1.17734,1.17786,1.1771,1.1778
2026-05-11T18:00:00Z,1.17781,1.17805,1.17745,1.1775
2026-05-11T19:00:00Z,1.1775,1.1778,1.17745,1.17775
2026-05-11T20:00:00Z,1.17774,1.1783,1.1774,1.17824
2026-05-11T21:00:00Z,1.17814,1.17848,1.17804,1.17846
2026-05-11T22:00:00Z,1.17848,1.17878,1.17843,1.17853
2026-05-11T23:00:00Z,1.17854,1.17855,1.17773,1.17785
2026-05-12T00:00:00Z,1.17784,1.17784,1.17663,1.17672
2026-05-12T01:00:00Z,1.17672,1.17691,1.17577,1.17616
2026-05-12T02:00:00Z,1.17616,1.17647,1.17595,1.17626
2026-05-12T03:00:00Z,1.17624,1.1763,1.17547,1.17564
2026-05-12T04:00:00Z,1.17564,1.17598,1.17556,1.17571
2026-05-12T05:00:00Z,1.17572,1.17682,1.17523,1.17624
2026-05-12T06:00:00Z,1.17626,1.17663,1.17497,1.17504
2026-05-12T07:00:00Z,1.17504,1.17534,1.17434,1.17478
2026-05-12T08:00:00Z,1.17479,1.17505,1.17394,1.17446
2026-05-12T09:00:00Z,1.17445,1.17516,1.17438,1.17476
2026-05-12T10:00:00Z,1.17474,1.17492,1.17405,1.17407
2026-05-12T11:00:00Z,1.17406,1.17484,1.17349,1.17438
2026-05-12T12:00:00Z,1.1744,1.17499,1.1736,1.17478
2026-05-12T13:00:00Z,1.17476,1.175,1.17271,1.173
2026-05-12T14:00:00Z,1.17301,1.17361,1.1728,1.1736
2026-05-12T15:00:00Z,1.1736,1.17366,1.17218,1.17327
2026-05-12T16:00:00Z,1.17328,1.17386,1.17278,1.17283
2026-05-12T17:00:00Z,1.17284,1.17338,1.17274,1.17334
2026-05-12T18:00:00Z,1.17334,1.1741,1.17289,1.17406
2026-05-12T19:00:00Z,1.17406,1.17468,1.17399,1.17403
2026-05-12T20:00:00Z,1.17404,1.1741,1.17378,1.17403
2026-05-12T21:00:00Z,1.17366,1.17408,1.17358,1.17382
2026-05-12T22:00:00Z,1.17388,1.17402,1.17376,1.17397
2026-05-12T23:00:00Z,1.17398,1.17414,1.17347,1.17351
2026-05-13T00:00:00Z,1.1735,1.17387,1.1733,1.17382
2026-05-13T01:00:00Z,1.17382,1.17418,1.1732,1.17388
2026-05-13T02:00:00Z,1.17388,1.17417,1.17363,1.17372
2026-05-13T03:00:00Z,1.17372,1.17378,1.17326,1.17346
2026-05-13T04:00:00Z,1.17346,1.17353,1.17322,1.17346
2026-05-13T05:00:00Z,1.17346,1.1737,1.17324,1.17341
2026-05-13T06:00:00Z,1.1734,1.17344,1.17181,1.172
2026-05-13T07:00:00Z,1.172,1.17234,1.1707,1.17072
2026-05-13T08:00:00Z,1.1707,1.17117,1.17004,1.17032
