time,open,high,low,close,Volume,Volume
480812400,-1.0745000000000018,-1.0745000000000018,-1.0745000000000018,-1.0745000000000018,0,0
480898800,-1.0825000000000018,-1.0825000000000018,-1.0825000000000018,-1.0825000000000018,0,0
481158000,-1.072500000000002,-1.072500000000002,-1.072500000000002,-1.072500000000002,0,0
481244400,-1.072500000000002,-1.072500000000002,-1.072500000000002,-1.072500000000002,0,0
481330800,-1.070000000000002,-1.070000000000002,-1.070000000000002,-1.070000000000002,0,0
481417200,-1.0680000000000018,-1.0680000000000018,-1.0680000000000018,-1.0680000000000018,0,0
481762800,-1.052500000000002,-1.052500000000002,-1.052500000000002,-1.052500000000002,0,0
481849200,-1.052500000000002,-1.052500000000002,-1.052500000000002,-1.052500000000002,0,0
481935600,-1.052500000000002,-1.052500000000002,-1.052500000000002,-1.052500000000002,0,0
482022000,-1.070000000000002,-1.070000000000002,-1.070000000000002,-1.070000000000002,0,0
482108400,-1.0825000000000018,-1.0825000000000018,-1.0825000000000018,-1.0825000000000018,0,0
482367600,-1.070000000000002,-1.070000000000002,-1.070000000000002,-1.070000000000002,0,0
482454000,-1.077000000000002,-1.077000000000002,-1.077000000000002,-1.077000000000002,0,0
482540400,-1.0840000000000019,-1.0840000000000019,-1.0840000000000019,-1.0840000000000019,0,0
482626800,-1.088500000000002,-1.088500000000002,-1.088500000000002,-1.088500000000002,0,0
482713200,-1.083500000000002,-1.083500000000002,-1.083500000000002,-1.083500000000002,0,0
482972400,-1.0745000000000018,-1.0745000000000018,-1.0745000000000018,-1.0745000000000018,0,0
483058800,-1.079500000000002,-1.079500000000002,-1.079500000000002,-1.079500000000002,0,0
483145200,-1.083500000000002,-1.083500000000002,-1.083500000000002,-1.083500000000002,0,0
483231600,-1.083500000000002,-1.083500000000002,-1.083500000000002,-1.083500000000002,0,0
483318000,-1.081500000000002,-1.081500000000002,-1.081500000000002,-1.081500000000002,0,0
483573600,-1.085500000000002,-1.085500000000002,-1.085500000000002,-1.085500000000002,0,0
483660000,-1.083500000000002,-1.083500000000002,-1.083500000000002,-1.083500000000002,0,0
483746400,-1.084500000000002,-1.084500000000002,-1.084500000000002,-1.084500000000002,0,0
483832800,-1.088500000000002,-1.088500000000002,-1.088500000000002,-1.088500000000002,0,0
